,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
1094,0.422,0.776,5,-7.127,1,0.0381,0.0244,0.0,0.143,0.405,109.796,audio_features,6joAGL5IuD66Qgcz049ObW,spotify:track:6joAGL5IuD66Qgcz049ObW,https://api.spotify.com/v1/tracks/6joAGL5IuD66Qgcz049ObW,https://api.spotify.com/v1/audio-analysis/6joAGL5IuD66Qgcz049ObW,293893,4
1095,0.317,0.146,3,-11.529,1,0.0292,0.955,0.212,0.179,0.0835,78.347,audio_features,2yjXmFrSSg7UNi9mMMPVXz,spotify:track:2yjXmFrSSg7UNi9mMMPVXz,https://api.spotify.com/v1/tracks/2yjXmFrSSg7UNi9mMMPVXz,https://api.spotify.com/v1/audio-analysis/2yjXmFrSSg7UNi9mMMPVXz,201067,3
1096,0.341,0.416,11,-9.574,1,0.0265,0.184,6.28e-05,0.0917,0.499,102.886,audio_features,62fX8EW16l8St2yL8rMer9,spotify:track:62fX8EW16l8St2yL8rMer9,https://api.spotify.com/v1/tracks/62fX8EW16l8St2yL8rMer9,https://api.spotify.com/v1/audio-analysis/62fX8EW16l8St2yL8rMer9,134133,3
1097,0.624,0.702,7,-7.399,1,0.0784,0.0855,0.0674,0.0365,0.951,171.22,audio_features,70pR7ZZ3C5mkLWoWtDhl38,spotify:track:70pR7ZZ3C5mkLWoWtDhl38,https://api.spotify.com/v1/tracks/70pR7ZZ3C5mkLWoWtDhl38,https://api.spotify.com/v1/audio-analysis/70pR7ZZ3C5mkLWoWtDhl38,186733,4
1098,0.747,0.904,9,-2.623,1,0.0803,0.046,0.106,0.203,0.846,118.877,audio_features,4DX82Vc8qAH4jJPvKxvwg6,spotify:track:4DX82Vc8qAH4jJPvKxvwg6,https://api.spotify.com/v1/tracks/4DX82Vc8qAH4jJPvKxvwg6,https://api.spotify.com/v1/audio-analysis/4DX82Vc8qAH4jJPvKxvwg6,181827,4
1099,0.692,0.497,2,-7.316,1,0.119,0.676,0.0,0.259,0.475,81.308,audio_features,4pbJqGIASGPr0ZpGpnWkDn,spotify:track:4pbJqGIASGPr0ZpGpnWkDn,https://api.spotify.com/v1/tracks/4pbJqGIASGPr0ZpGpnWkDn,https://api.spotify.com/v1/audio-analysis/4pbJqGIASGPr0ZpGpnWkDn,122067,4
1100,0.475,0.432,7,-7.844,1,0.0302,0.183,0.0,0.161,0.648,94.605,audio_features,6ORqU0bHbVCRjXm9AjyHyZ,spotify:track:6ORqU0bHbVCRjXm9AjyHyZ,https://api.spotify.com/v1/tracks/6ORqU0bHbVCRjXm9AjyHyZ,https://api.spotify.com/v1/audio-analysis/6ORqU0bHbVCRjXm9AjyHyZ,153467,4
1101,0.581,0.63,0,-14.541,1,0.131,0.0402,0.000473,0.208,0.728,94.002,audio_features,0TC1pZmOD2ndlReWhUD2d3,spotify:track:0TC1pZmOD2ndlReWhUD2d3,https://api.spotify.com/v1/tracks/0TC1pZmOD2ndlReWhUD2d3,https://api.spotify.com/v1/audio-analysis/0TC1pZmOD2ndlReWhUD2d3,619373,4
1102,0.667,0.699,7,-7.574,1,0.026,0.42,0.000442,0.201,0.655,118.567,audio_features,4jLv3tDBu8ww2R07DvL12s,spotify:track:4jLv3tDBu8ww2R07DvL12s,https://api.spotify.com/v1/tracks/4jLv3tDBu8ww2R07DvL12s,https://api.spotify.com/v1/audio-analysis/4jLv3tDBu8ww2R07DvL12s,314173,4
1103,0.699,0.197,4,-14.792,1,0.0383,0.655,0.0,0.0716,0.361,122.871,audio_features,4EgKcG7aswxVfQEqa3dl8S,spotify:track:4EgKcG7aswxVfQEqa3dl8S,https://api.spotify.com/v1/tracks/4EgKcG7aswxVfQEqa3dl8S,https://api.spotify.com/v1/audio-analysis/4EgKcG7aswxVfQEqa3dl8S,252067,4
1104,0.573,0.902,6,-7.638,0,0.054,0.018,0.00125,0.0928,0.876,84.412,audio_features,2WfaOiMkCvy7F5fcp2zZ8L,spotify:track:2WfaOiMkCvy7F5fcp2zZ8L,https://api.spotify.com/v1/tracks/2WfaOiMkCvy7F5fcp2zZ8L,https://api.spotify.com/v1/audio-analysis/2WfaOiMkCvy7F5fcp2zZ8L,225280,4
1105,0.55,0.824,2,-5.988,1,0.0334,0.448,0.000127,0.366,0.777,114.512,audio_features,7MRyJPksH3G2cXHN8UKYzP,spotify:track:7MRyJPksH3G2cXHN8UKYzP,https://api.spotify.com/v1/tracks/7MRyJPksH3G2cXHN8UKYzP,https://api.spotify.com/v1/audio-analysis/7MRyJPksH3G2cXHN8UKYzP,214733,4
1106,0.466,0.861,0,-8.61,1,0.0318,0.566,0.0595,0.22,0.955,154.928,audio_features,74Qp7hzjPFQZUBMpNDqUIM,spotify:track:74Qp7hzjPFQZUBMpNDqUIM,https://api.spotify.com/v1/tracks/74Qp7hzjPFQZUBMpNDqUIM,https://api.spotify.com/v1/audio-analysis/74Qp7hzjPFQZUBMpNDqUIM,126733,4
1107,0.656,0.816,1,-10.722,0,0.035,0.049,0.00119,0.105,0.727,100.645,audio_features,1ZoE2naC9ySlPLdBZhS1rM,spotify:track:1ZoE2naC9ySlPLdBZhS1rM,https://api.spotify.com/v1/tracks/1ZoE2naC9ySlPLdBZhS1rM,https://api.spotify.com/v1/audio-analysis/1ZoE2naC9ySlPLdBZhS1rM,313000,4
1108,0.36,0.909,8,-6.827,1,0.0663,0.000347,3.28e-05,0.282,0.647,155.293,audio_features,0T702y9ndzZTnPq1bqiAM2,spotify:track:0T702y9ndzZTnPq1bqiAM2,https://api.spotify.com/v1/tracks/0T702y9ndzZTnPq1bqiAM2,https://api.spotify.com/v1/audio-analysis/0T702y9ndzZTnPq1bqiAM2,217387,4
1109,0.44,0.906,8,-4.78,1,0.0392,0.0453,0.0,0.0875,0.652,148.111,audio_features,3rGj4Y2nIBehsEmU1w8XvV,spotify:track:3rGj4Y2nIBehsEmU1w8XvV,https://api.spotify.com/v1/tracks/3rGj4Y2nIBehsEmU1w8XvV,https://api.spotify.com/v1/audio-analysis/3rGj4Y2nIBehsEmU1w8XvV,250160,4
1110,0.755,0.229,6,-10.433,1,0.0397,0.88,0.0,0.11,0.722,124.675,audio_features,3CeXl5AGvmRDP6RSGAbLUV,spotify:track:3CeXl5AGvmRDP6RSGAbLUV,https://api.spotify.com/v1/tracks/3CeXl5AGvmRDP6RSGAbLUV,https://api.spotify.com/v1/audio-analysis/3CeXl5AGvmRDP6RSGAbLUV,193400,4
1111,0.271,0.714,7,-5.124,1,0.0329,0.392,0.0,0.115,0.239,94.158,audio_features,5rfT032kGmLvbxZzfHlu5D,spotify:track:5rfT032kGmLvbxZzfHlu5D,https://api.spotify.com/v1/tracks/5rfT032kGmLvbxZzfHlu5D,https://api.spotify.com/v1/audio-analysis/5rfT032kGmLvbxZzfHlu5D,202347,3
1112,0.428,0.733,9,-5.237,1,0.0554,0.167,0.00125,0.34,0.841,142.839,audio_features,1S1wspc9mDzEIceHjRBYQX,spotify:track:1S1wspc9mDzEIceHjRBYQX,https://api.spotify.com/v1/tracks/1S1wspc9mDzEIceHjRBYQX,https://api.spotify.com/v1/audio-analysis/1S1wspc9mDzEIceHjRBYQX,136000,4
1113,0.851,0.406,1,-11.631,1,0.0661,0.219,6.41e-06,0.0853,0.792,97.84,audio_features,4kOfxxnW1ukZdsNbCKY9br,spotify:track:4kOfxxnW1ukZdsNbCKY9br,https://api.spotify.com/v1/tracks/4kOfxxnW1ukZdsNbCKY9br,https://api.spotify.com/v1/audio-analysis/4kOfxxnW1ukZdsNbCKY9br,226880,4
1114,0.499,0.8,4,-8.977,1,0.0379,0.04,0.0286,0.224,0.829,96.433,audio_features,2o9diEapGbeXiiQM8yuksp,spotify:track:2o9diEapGbeXiiQM8yuksp,https://api.spotify.com/v1/tracks/2o9diEapGbeXiiQM8yuksp,https://api.spotify.com/v1/audio-analysis/2o9diEapGbeXiiQM8yuksp,236533,4
1115,0.736,0.914,7,-3.707,1,0.285,0.318,0.0,0.0447,0.932,136.068,audio_features,4OGZ8hbvwe6FsEzdh16vxj,spotify:track:4OGZ8hbvwe6FsEzdh16vxj,https://api.spotify.com/v1/tracks/4OGZ8hbvwe6FsEzdh16vxj,https://api.spotify.com/v1/audio-analysis/4OGZ8hbvwe6FsEzdh16vxj,245080,4
1116,0.322,0.952,9,-6.925,1,0.205,0.000202,0.219,0.0671,0.257,161.79,audio_features,0iAcyO7WLhnC7WOTOpjGv1,spotify:track:0iAcyO7WLhnC7WOTOpjGv1,https://api.spotify.com/v1/tracks/0iAcyO7WLhnC7WOTOpjGv1,https://api.spotify.com/v1/audio-analysis/0iAcyO7WLhnC7WOTOpjGv1,136773,4
1117,0.942,0.641,7,-10.15,1,0.0333,0.331,0.179,0.028,0.966,114.443,audio_features,6aBUnkXuCEQQHAlTokv9or,spotify:track:6aBUnkXuCEQQHAlTokv9or,https://api.spotify.com/v1/tracks/6aBUnkXuCEQQHAlTokv9or,https://api.spotify.com/v1/audio-analysis/6aBUnkXuCEQQHAlTokv9or,296147,4
1118,0.442,0.52,0,-8.648,1,0.0261,0.184,0.0,0.154,0.177,77.437,audio_features,15kLz0zNFdtsaJdXKSGmTU,spotify:track:15kLz0zNFdtsaJdXKSGmTU,https://api.spotify.com/v1/tracks/15kLz0zNFdtsaJdXKSGmTU,https://api.spotify.com/v1/audio-analysis/15kLz0zNFdtsaJdXKSGmTU,304880,4
1119,0.717,0.665,9,-9.503,1,0.0523,0.0659,0.0,0.326,0.774,105.693,audio_features,4XRkQloZFcRrCONN7ZQ49Y,spotify:track:4XRkQloZFcRrCONN7ZQ49Y,https://api.spotify.com/v1/tracks/4XRkQloZFcRrCONN7ZQ49Y,https://api.spotify.com/v1/audio-analysis/4XRkQloZFcRrCONN7ZQ49Y,348067,4
1120,0.268,0.459,10,-6.94,1,0.0346,0.378,0.0,0.118,0.175,64.177,audio_features,1lCRw5FEZ1gPDNPzy1K4zW,spotify:track:1lCRw5FEZ1gPDNPzy1K4zW,https://api.spotify.com/v1/tracks/1lCRw5FEZ1gPDNPzy1K4zW,https://api.spotify.com/v1/audio-analysis/1lCRw5FEZ1gPDNPzy1K4zW,179200,4
1121,0.426,0.584,1,-5.293,1,0.296,0.0383,0.0,0.188,0.272,193.437,audio_features,2ZBNclC5wm4GtiWaeh0DMx,spotify:track:2ZBNclC5wm4GtiWaeh0DMx,https://api.spotify.com/v1/tracks/2ZBNclC5wm4GtiWaeh0DMx,https://api.spotify.com/v1/audio-analysis/2ZBNclC5wm4GtiWaeh0DMx,193213,4
1122,0.543,0.836,4,-9.11,0,0.0353,0.000647,0.431,0.153,0.56,105.173,audio_features,2MuWTIM3b0YEAskbeeFE1i,spotify:track:2MuWTIM3b0YEAskbeeFE1i,https://api.spotify.com/v1/tracks/2MuWTIM3b0YEAskbeeFE1i,https://api.spotify.com/v1/audio-analysis/2MuWTIM3b0YEAskbeeFE1i,515387,4
